Nr;Dlugosc_kroku;x1_0;x2_0;x1_HJ;x2_HJ;f_HJ;calls_HJ;Min_global_HJ;x1_Rosen;x2_Rosen;f_Rosen;calls_Rosen;Min_global_Rosen
185;0,100000;-0,927260;0,486099;-0,774135;0,775161;1,239691;72;NIE;-0,775697;0,773599;1,239743;27;NIE
186;0,100000;-0,844000;0,516081;-0,775250;0,775456;1,239700;78;NIE;-0,774469;0,775456;1,239693;35;NIE
187;0,100000;-0,367777;0,291835;-0,000589;-0,000352;0,000015;93;TAK;-0,000589;0,000429;0,000017;43;TAK
188;0,100000;-0,559409;0,140163;-0,775034;-0,000462;0,619847;71;NIE;-0,775034;-0,000072;0,619841;39;NIE
189;0,100000;-0,556121;0,408774;-0,774871;0,774399;1,239678;82;NIE;-0,774871;0,774399;1,239678;39;NIE
190;0,100000;0,270758;-0,129581;0,000446;0,000106;0,000007;76;TAK;0,000446;-0,000285;0,000009;43;TAK
191;0,100000;0,593529;-0,469196;0,774779;-0,775446;1,239691;56;NIE;0,773998;-0,773884;1,239712;39;NIE
192;0,100000;-0,127866;0,358449;0,000259;0,000637;0,000015;96;TAK;0,000259;-0,000926;0,000029;35;TAK
193;0,100000;0,063916;-0,600977;-0,000147;-0,774415;0,619841;70;NIE;-0,000147;-0,774415;0,619841;39;NIE
194;0,100000;-0,912714;-0,410930;-0,775214;0,000008;0,619845;76;NIE;-0,774433;-0,001555;0,619917;35;NIE
195;0,100000;-0,043925;0,615183;-0,000175;0,774558;0,619839;73;NIE;-0,000175;0,774558;0,619839;31;NIE
196;0,100000;0,474661;-0,994508;0,774661;-0,774196;1,239683;64;NIE;0,774734;-0,774196;1,239683;39;NIE
197;0,100000;-0,830268;0,080266;-0,774018;0,000579;0,619863;67;NIE;-0,774018;0,000579;0,619863;31;NIE
198;0,100000;0,250719;-0,421504;0,000719;0,000371;0,000021;80;TAK;-0,000843;0,000078;0,000023;51;TAK
199;0,100000;-0,631937;-0,444747;-0,774124;0,000566;0,619858;74;NIE;-0,774808;0,000566;0,619848;39;NIE
200;0,100000;-0,512600;0,771143;-0,775100;0,774268;1,239685;74;NIE;-0,775100;0,774757;1,239679;39;NIE
201;0,010000;-0,946199;0,239484;-0,774949;-0,000516;0,619847;73;NIE;-0,774637;-0,000516;0,619846;49;NIE
202;0,010000;0,007996;-0,144823;0,000496;0,000177;0,000009;57;TAK;0,000028;0,000177;0,000001;29;TAK
203;0,010000;-0,980385;-0,005564;-0,774135;-0,000564;0,619858;59;NIE;-0,774135;0,000002;0,619848;41;NIE
204;0,010000;0,098199;0,178907;-0,000551;0,000157;0,000010;69;TAK;-0,000239;-0,001093;0,000040;41;TAK
205;0,010000;0,396254;-0,253015;0,000004;-0,000515;0,000008;92;TAK;-0,000621;0,000735;0,000029;45;TAK
206;0,010000;-0,610281;-0,691304;-0,775281;-0,775054;1,239688;72;NIE;-0,774656;-0,775054;1,239678;37;NIE
207;0,010000;-0,198600;0,793790;0,000150;0,775040;0,619841;60;NIE;0,000150;0,774727;0,619838;41;NIE
208;0,010000;-0,896075;-0,571257;-0,774825;-0,775007;1,239677;81;NIE;-0,774512;-0,775007;1,239678;45;NIE
209;0,010000;-0,543981;-0,444984;-0,775231;-0,774984;1,239685;85;NIE;-0,773981;-0,774984;1,239694;45;NIE
210;0,010000;0,342639;0,917495;0,000139;0,774995;0,619840;85;NIE;0,000139;0,774683;0,619838;45;NIE
211;0,010000;0,138262;-0,253512;-0,000488;0,000238;0,000009;85;TAK;0,000137;0,000238;0,000002;45;TAK
212;0,010000;-0,421166;-0,614489;-0,774916;-0,774489;1,239677;101;NIE;-0,774916;-0,774801;1,239676;53;NIE
213;0,010000;0,695976;-0,340428;0,774726;-0,000428;0,619843;66;NIE;0,774726;-0,000428;0,619843;37;NIE
214;0,010000;-0,725410;-0,732337;-0,774160;-0,774837;1,239684;49;NIE;-0,774160;-0,774837;1,239684;33;NIE
215;0,010000;0,694875;-0,906121;0,774875;-0,774871;1,239676;63;NIE;0,773625;-0,774871;1,239712;33;NIE
216;0,010000;0,836959;0,115699;0,774459;-0,000551;0,619849;74;NIE;0,774772;-0,000551;0,619847;49;NIE
217;0,010000;-0,881264;-0,695727;-0,775014;-0,774477;1,239679;66;NIE;-0,773764;-0,774790;1,239703;37;NIE
218;0,010000;0,197593;-0,451159;0,000093;-0,774909;0,619839;91;NIE;-0,000532;-0,774909;0,619847;45;NIE
219;0,010000;-0,097749;-0,739015;-0,000249;-0,775265;0,619849;59;NIE;-0,000249;-0,774718;0,619839;33;NIE
220;0,010000;-0,155813;0,033769;0,000437;0,000019;0,000006;60;TAK;0,000437;-0,000001;0,000006;37;TAK
221;0,010000;0,659904;-0,557930;0,774904;-0,774180;1,239684;85;NIE;0,774904;-0,775430;1,239691;41;NIE
222;0,010000;0,798847;0,271650;0,775097;0,000400;0,619847;77;NIE;0,774706;0,000400;0,619842;45;NIE
223;0,010000;0,500400;0,598724;0,774150;0,774974;1,239686;76;NIE;0,774150;0,774974;1,239686;41;NIE
224;0,010000;-0,089683;-0,895639;0,000317;-0,774389;0,619844;55;NIE;0,000004;-0,775639;0,619864;33;NIE
225;0,010000;-0,347235;-0,022430;0,000265;0,000070;0,000002;68;TAK;0,000265;-0,000003;0,000002;45;TAK
226;0,010000;0,697004;0,184425;0,774504;-0,000575;0,619849;69;NIE;0,774817;-0,000575;0,619848;37;NIE
227;0,010000;0,777232;0,845224;0,774732;0,775224;1,239682;63;NIE;0,774576;0,773974;1,239692;33;NIE
228;0,010000;0,744056;-0,445989;0,775306;-0,774739;1,239685;79;NIE;0,774716;-0,773489;1,239721;45;NIE
229;0,010000;0,368188;0,548456;-0,000562;0,774706;0,619847;105;NIE;-0,000562;0,775019;0,619850;53;NIE
230;0,010000;0,744579;0,943122;0,774579;0,774372;1,239679;71;NIE;0,774706;0,774372;1,239678;41;NIE
231;0,010000;-0,972177;-0,150359;-0,774677;-0,000359;0,619841;74;NIE;-0,774677;0,000110;0,619838;37;NIE
232;0,010000;-0,099021;0,947649;-0,000271;0,775149;0,619845;77;NIE;0,000041;0,775149;0,619843;41;NIE
233;0,010000;0,184407;-0,052072;-0,000593;0,000428;0,000017;70;TAK;-0,000593;0,000115;0,000012;37;TAK
234;0,010000;-0,291620;0,853884;-0,000370;0,775134;0,619847;68;NIE;-0,000370;0,774665;0,619842;45;NIE
235;0,010000;0,583272;0,494788;0,774522;0,774788;1,239676;73;NIE;0,774522;0,774788;1,239676;37;NIE
236;0,010000;0,856453;0,321245;0,775203;-0,000005;0,619845;83;NIE;0,774578;0,001245;0,619887;37;NIE
237;0,010000;-0,808998;-0,555118;-0,775248;-0,775118;1,239688;71;NIE;-0,774740;-0,773868;1,239697;45;NIE
238;0,010000;0,765604;0,047516;0,774354;0,000016;0,619841;50;NIE;0,774745;-0,001234;0,619886;33;NIE
239;0,010000;0,372090;0,540502;-0,000410;0,774252;0,619849;103;NIE;-0,000410;0,775502;0,619862;45;NIE
240;0,010000;0,768730;0,663818;0,774980;0,775068;1,239680;59;NIE;0,774706;0,775068;1,239678;45;NIE
241;0,010000;-0,089415;0,018901;0,000585;0,000151;0,000012;45;TAK;0,000585;0,000151;0,000012;25;TAK
242;0,010000;0,079020;0,448115;0,000270;0,774365;0,619843;81;NIE;-0,000043;0,774365;0,619841;41;NIE
243;0,010000;0,572085;0,823617;0,774585;0,774867;1,239676;67;NIE;0,774585;0,774789;1,239675;41;NIE
244;0,010000;-0,324460;-0,789073;0,000540;-0,775323;0,619858;81;NIE;0,000540;-0,774776;0,619847;37;NIE
245;0,010000;0,632139;-0,932627;0,774639;-0,775127;1,239680;60;NIE;0,774639;-0,775127;1,239680;33;NIE
246;0,010000;-0,710852;0,734298;-0,774602;0,774298;1,239680;49;NIE;-0,774602;0,774766;1,239675;33;NIE
247;0,010000;-0,738320;0,373697;-0,774570;-0,000053;0,619838;87;NIE;-0,774726;0,001197;0,619883;45;NIE
248;0,010000;0,758782;-0,477151;0,775032;-0,774651;1,239678;91;NIE;0,774715;-0,774651;1,239675;45;NIE
249;0,010000;-0,567782;-0,698901;-0,775282;-0,775151;1,239690;77;NIE;-0,775282;-0,774682;1,239684;45;NIE
250;0,010000;0,540693;-0,778929;0,774443;-0,775179;1,239683;72;NIE;0,775693;-0,774715;1,239704;45;NIE
251;0,010000;0,091233;-0,904522;-0,000017;-0,774522;0,619838;61;NIE;-0,000017;-0,774678;0,619837;37;NIE
252;0,010000;0,321433;-0,041629;0,000183;-0,000379;0,000006;84;TAK;-0,001067;0,000012;0,000036;41;TAK
253;0,010000;-0,022325;-0,566113;0,000175;-0,774863;0,619839;64;NIE;-0,000021;-0,773613;0,619875;45;NIE
254;0,010000;0,198873;-0,633112;0,000123;-0,774362;0,619842;75;NIE;0,000123;-0,775612;0,619863;41;NIE
255;0,010000;-0,011644;0,396309;-0,000394;0,000059;0,000005;97;TAK;-0,000003;-0,001191;0,000045;41;TAK
256;0,010000;-0,011697;0,267006;-0,000447;-0,000494;0,000014;77;TAK;0,000003;-0,000494;0,000008;45;TAK
257;0,010000;0,271077;-0,595288;-0,000173;-0,775288;0,619848;77;NIE;-0,000173;-0,774663;0,619838;45;NIE
258;0,010000;0,437174;-0,755512;0,774674;-0,774262;1,239681;69;NIE;0,774674;-0,774731;1,239674;41;NIE
259;0,010000;0,564117;0,461623;0,774117;0,774123;1,239697;83;NIE;0,774742;0,775373;1,239688;37;NIE
260;0,010000;-0,498481;-0,741524;-0,774731;-0,775274;1,239684;74;NIE;-0,773481;-0,774649;1,239722;37;NIE
261;0,010000;-0,111826;0,640763;-0,000576;0,774513;0,619849;74;NIE;-0,000576;0,774825;0,619848;45;NIE
262;0,010000;-0,652822;-0,622237;-0,775322;-0,774737;1,239686;58;NIE;-0,774072;-0,774425;1,239690;45;NIE
263;0,010000;0,111064;0,453583;-0,000186;0,774833;0,619839;72;NIE;0,000126;0,774833;0,619838;45;NIE
264;0,010000;-0,669289;0,298671;-0,774289;-0,000079;0,619843;91;NIE;-0,774758;0,001171;0,619881;45;NIE
265;0,010000;0,128725;-0,846002;-0,000025;-0,774752;0,619837;68;NIE;-0,000025;-0,774713;0,619837;45;NIE
